timestamp,CMC
1755230400,0.2541771
1755234000,0.2521991
1755237600,0.2524266
1755241200,0.2559951
1755244800,0.2550076
1755248400,0.2566159
1755252000,0.2529874
1755255600,0.2533261
1755259200,0.2532218
1755262800,0.2535838
1755266400,0.2508477
1755270000,0.2472436
1755273600,0.2439328
1755277200,0.2445927
1755280800,0.2456055
1755284400,0.2446793
1755288000,0.2443209
1755291600,0.2458356
1755295200,0.2465189
1755298800,0.2506032
1755302400,0.2476555
1755306000,0.2506936
1755309600,0.2506624
1755313200,0.2505590
1755316800,0.2505019
1755320400,0.2503380
1755324000,0.2481775
1755327600,0.2483328
1755331200,0.2503448
1755334800,0.2501688
1755338400,0.2509235
1755342000,0.2487438
1755345600,0.2486861
1755349200,0.2491629
1755352800,0.2496802
1755356400,0.2519880
1755360000,0.2503705
1755363600,0.2511034
1755367200,0.2498502
1755370800,0.2504136
1755374400,0.2514222
1755378000,0.2519210
1755381600,0.2511976
1755385200,0.2523736
1755388800,0.2524415
1755392400,0.2516292
1755396000,0.2514258
1755399600,0.2532543
1755403200,0.2537678
1755406800,0.2551816
1755410400,0.2548762
1755414000,0.2534904
1755417600,0.2543349
1755421200,0.2567804
1755424800,0.2564358
1755428400,0.2562971
1755432000,0.2566102
1755433800,0.2558236
1755434400,0.2556134
1755434700,0.2556188
1755435300,0.2552678
1755435600,0.2551342
1755435900,0.2549008
1755436200,0.2546263
1755436500,0.2545236
1755436800,0.2547463
1755437100,0.2546367
1755437400,0.2547885
1755437700,0.2548646
1755438000,0.2553423
1755438300,0.2557188
1755438600,0.2563213
1755438900,0.2567213
1755439200,0.2564851
1755439500,0.2562325
1755439800,0.2561233
1755440100,0.2560881
1755440400,0.2559630
1755440700,0.2556268
1755441000,0.2559023
1755441300,0.2558326
1755441600,0.2562242
1755441900,0.2565409
1755442200,0.2569232
1755442500,0.2565917
1755442800,0.2564966
1755443100,0.2563466
1755443400,0.2561963
1755443700,0.2561950
1755444000,0.2555508
1755444300,0.2556571
1755444600,0.2560938
1755444900,0.2568136
1755445200,0.2573772
1755445500,0.2574256
1755445800,0.2577374
1755446100,0.2581834
1755446400,0.2585459
1755446700,0.2592618
1755447000,0.2599775
1755447300,0.2597952
1755447600,0.2583677
1755447900,0.2585107
1755448200,0.2584681
1755448500,0.2582201
1755448800,0.2574917
1755449100,0.2571730
1755449400,0.2569835
1755449700,0.2562712
1755450000,0.2563144
1755450300,0.2564401
1755450600,0.2561840
1755450900,0.2558995
1755451200,0.2554273
1755451500,0.2557515
1755451800,0.2559696
1755452100,0.2560506
1755452400,0.2559916
1755452700,0.2557639
1755453000,0.2558992
1755453300,0.2556574
1755453600,0.2554846
1755453900,0.2552774
1755454200,0.2550187
1755454500,0.2551280
1755454800,0.2548113
1755455100,0.2543946
1755455400,0.2540100
1755455700,0.2540991
1755456000,0.2538828
1755456300,0.2539912
1755456600,0.2539464
1755456900,0.2536127
1755457200,0.2523521
1755457500,0.2530966
1755457800,0.2531337
1755458100,0.2531448
1755458400,0.2530647
1755458700,0.2532556
1755459000,0.2534360
1755459300,0.2529888
1755459600,0.2523449
1755459900,0.2521347
1755460200,0.2522447
1755460500,0.2520987
1755460800,0.2518239
1755461100,0.2519353
1755461400,0.2520432
1755461700,0.2522435
1755462000,0.2522779
1755462300,0.2521647
1755462600,0.2523402
1755462900,0.2527738
1755463200,0.2527709
1755463500,0.2529658
1755463800,0.2526062
1755464100,0.2526581
1755464400,0.2521691
1755464700,0.2519092
1755465000,0.2520127
1755465300,0.2519849
1755465600,0.2518291
1755465900,0.2518802
1755466200,0.2518156
1755466500,0.2518378
1755466800,0.2520638
1755467100,0.2520920
1755467400,0.2523111
1755467700,0.2523303
1755468000,0.2523130
1755468300,0.2523635
1755468600,0.2528079
1755468900,0.2528001
1755469200,0.2527872
1755469500,0.2534547
1755469800,0.2539318
1755470100,0.2542122
1755470400,0.2545446
1755470700,0.2547336
1755471000,0.2550234
1755471300,0.2548455
1755471600,0.2547320
1755471900,0.2543531
1755472200,0.2541457
1755472500,0.2539404
1755472800,0.2537513
1755473100,0.2533810
1755473400,0.2532373
1755473700,0.2531305
1755474000,0.2529569
1755474300,0.2531467
1755474600,0.2528204
1755474900,0.2523580
1755475200,0.2522512
1755475500,0.2521915
1755475800,0.2524228
1755476100,0.2527681
1755476400,0.2521250
1755476700,0.2521747
1755477000,0.2519490
1755477300,0.2511477
1755477600,0.2512745
1755477900,0.2516222
1755478200,0.2519021
1755478500,0.2519875
1755478800,0.2518037
1755479100,0.2520189
1755479400,0.2515215
1755479700,0.2515296
1755480000,0.2517851
1755480300,0.2509038
1755480600,0.2505332
1755480900,0.2497230
1755481200,0.2493807
1755481500,0.2488498
1755481800,0.2491433
1755482100,0.2484307
1755482400,0.2481626
1755482700,0.2476947
1755483000,0.2473722
1755483300,0.2464284
1755483600,0.2462833
1755483900,0.2455453
1755484200,0.2452764
1755484500,0.2450941
1755484800,0.2459262
1755485100,0.2459415
1755485400,0.2452950
1755485700,0.2438211
1755486000,0.2439536
1755486300,0.2438096
1755486600,0.2442513
1755486900,0.2442799
1755487200,0.2437849
1755487500,0.2433847
1755487800,0.2431071
1755488100,0.2429232
1755488400,0.2428065
1755488700,0.2429582
1755489000,0.2428632
1755489300,0.2436901
1755489600,0.2441327
1755489900,0.2438956
1755490200,0.2438707
1755490500,0.2442957
